Name;Filename;Distance;Seriation;Directionality;Weight;Side-Dimension;Dimension;Connection;Other visual encoding of arc;Additional data mapping;Arc layout;Layout;Interactive ;Animated;Reference;Year;URL;References
Shape of Song;shapeofsong;Data;Natural;Non;Yes;One;Multiple;;;;Semicircles;Horizontal;Yes;Yes;[Wattenberg02];2002;;
Bible Viz;bibleviz;Layout;Natural;Directed;No;One;Single;Cross-reference;Color represent dist (thrice);Y;Semicircles;Horizontal;No;No;[Harrison08];2008;www.chrisharrison.net/index.php/Visualizations/BibleViz_;
Similar Diversity;similardiversity;Metadata;Artificial;Non;Yes;One;;;;;;;;;[Steinweber07];2007;http://similardiversity.net/;
Edge Maps;edgemaps;Layout;Natural;Directed;No;Two;;;;;;;;;[Dšrk12];2012;;
Global Trade Flows;globaltradeflows;Metadata;Natural;Directed;No;Two;Single;;Direction by tapering;Y;Curve;Horizontal;Yes;Yes;[Stefaner11];2011;http://stefaner.eu/projects/global-trade-flows/;
Les Miserables;heer-vizzoo;Layout;Natural;Non;Yes;One;;;;;;;;;[Heer10];2010;;
Improvise;improvise-arcs;Layout;Natural;Non;Yes;;;;;;;;;;[Weaver07] ;2007;http://www.cs.ou.edu/~weaver/improvise/examples.html;
IRC Arcs;irc-arcs;Metadata;Natural;Directed;Yes;Two;Single;Name reference; ;Y (circle size = number of msgs);Semicircles;Horizontal;(different versions pre-rendered);;[Dittus06];2006;http://datavis.dekstop.de/irc_arcs/;
Limerick Vis;limerickvis;Data;Natural;Non;Yes;One;Multiple;;;;;;;;[Byron07];2007;http://www.leebyron.com/what/poetry/;
Document Arc Diagrams;neoformix;Layout;Natural;Non;No;One;;;;;;Vertical;;;[Clark07];2007;http://www.neoformix.com/2007/DocumentArcDiagrams.html;
Pivot Graphs;pivotgraph;Layout;Natural;Directed;Yes;Two;;;;;;;;;[Wattenberg06];2005;;
Thread Arcs;threadarcs1;Data;Natural;Directed;No;Two;;E-Mail threads;;;;;;;[Kerr03];2003;;
Arc Trees;arctrees;Layout;Natural;Non;n/a;;Single;;;;Chaikin curves;;;;[Neumann05];2005;;
Linkology;linkology;Layout;Natural;Directed;no;One;Single;Links;Color encodes page category. Direction by fading;;Bezier Curves;Horizontal;No;No;[Fry06];2006;http://benfry.com/linking/;
Charting the Beatles;beatles;Data;Natural;Directed;No;One;Single;Music refs.;Color;;Semicircles;Horizontal;;;[Deal10];2010;http://www.flickr.com/photos/44927243@N05/4263922939/sizes/l/in/photostream/;
Bible Cross References;biblecross;Data;Natural;Directed;No;Two;;;Color for old/new testament targe. Direction by bending;;;;;;[OpenBible10];2010;http://www.openbible.info/blog/2010/04/bible-cross-references-visualization/;[Harrison08] [SwinehartXX]
Sankey Arcs;sankeyarcs-bw;Metadata;Natural;Non;Yes;One/two;;;;;;;;;[Nagel12];2012;;
Gun Deaths;gundeaths;Data;None;Directed;No;;;;;;;;;;[Periscopic13];2013;http://guns.periscopic.com/;
Social Network;heinen;Metadata;Natural;Non;No;;;;;;;;;;[Heinen07];2007;http://design.felixheinen.de/Social-Network-Data-Visualisation;
Arc Diagrams;arcdiagrams;Metadata;Natural;Directed;Yes;;;;;;;;;;[Pretorius06];2006;;
CYOA;;;;;;;;;;;;;;;[SwinehartXX];;http://samizdat.cc/cyoa/;
